Location,Name,People_reached,Posts_edited,Upvotes,answer_votes,downvotes,helpful_tags,question_vote,this_month,user_id,votes_cast
Not Available,Davi Luis,26k,0,,,,0,,,9208833.0,25
Not Available,Sarah Vogel,24,0,,,,0,,,23400484.0,0
Not Available,Gerlex,1k,0,,,,0,,,14682764.0,231
Not Available,Bello Mada,16,0,,,,0,,,12353578.0,0
Germany,phydev,1k,0,,,,0,,,5888969.0,2
USA,Jon Sud,1.1m,0,,,,1,,,10932853.0,266
Not Available,user23405430,24,0,,,,0,,,23405430.0,0
Not Available,OrcaDrive,2k,0,,,,0,,,18324391.0,0
Not Available,ACB_prgm,4k,0,,,,0,,,13354853.0,9
Belgium,Techniquab,203k,1,,,,0,,,2864877.0,68
Not Available,Melly,111k,0,,,,0,,,13027012.0,78
Jordan,Mohammed Shannaq,111k,0,,,,0,,,899743.0,97
Not Available,PGriffy,33,0,,,,0,,,23401221.0,0
"London, UK",benqfproductions,129,0,,,,0,,,12196964.0,0
Not Available,VVR,16k,0,,,,0,,,14161980.0,0
Not Available,ajay,48k,0,,,,0,,,11437387.0,7
Australia,chickenStix,21k,0,,,,0,,,11867011.0,0
"Bangalore, India",Manu K Mohan,338k,5,,,,4,,,657815.0,146
Not Available,Capri,8k,0,,,,0,,,11713385.0,0
"Cleveland, Ohio",tlf,2k,0,,,,0,,,9472341.0,30
Not Available,V1ru8,377k,1,,,,0,,,186295.0,138
"Bellevue, WA, United States",merlin2011,6.8m,170,,,,15,,,391161.0,"1,463"
Not Available,fe108,5k,0,,,,0,,,16652194.0,24
Not Available,Spammer,401,0,,,,0,,,1502097.0,0
Germany,Mister 832,119k,8,,,,2,,,5620071.0,771
Not Available,Ric31,39,0,,,,0,,,23302299.0,0
Not Available,Canine Coder,114,0,,,,0,,,16437183.0,0
Belgium,Olivier_s_j,1.1m,8,,,,4,,,329829.0,688
"Norwood, NY, USA",TIBrent,512,0,,,,0,,,10386927.0,1
"Dhaka, Bangladesh",iku,688k,1,,,,0,,,8774520.0,121
Not Available,mjpsr11,75k,0,,,,2,,,1506836.0,7
"Coimbatore, Tamil Nadu, India",sreekesh.s,13k,1,,,,0,,,5814464.0,5
Not Available,BahiGoz,510,0,,,,0,,,19702331.0,8
Not Available,bic ton,56k,0,,,,3,,,5695511.0,91
Not Available,Will Tunechi,221,0,,,,0,,,23109232.0,0
"Curitiba, PR, Brasil",Raul Chiarella,67k,12,,,,0,,,8297745.0,98
"Manila, Philippines",BillyParadise,6k,0,,,,2,,,2137298.0,84
Not Available,Ali farahzadi,18k,0,,,,1,,,17307652.0,66
Not Available,Alekk,7k,0,,,,0,,,17876870.0,10
Not Available,Aditya Raj,148,0,,,,0,,,22927544.0,0
Not Available,Carla C,15k,0,,,,0,,,20735188.0,0
Not Available,Jo_K,2k,0,,,,0,,,20855764.0,5
Not Available,DrPineapple,39k,0,,,,0,,,4971634.0,4
Not Available,me.at.coding,2.7m,13,,,,0,,,298288.0,385
Not Available,CodeAlien,38k,0,,,,0,,,1838783.0,55
Not Available,Viany Manuel,2k,0,,,,0,,,12540932.0,219
Not Available,tom_cruz,40k,0,,,,0,,,2673535.0,16
Not Available,Milan Labus,2k,0,,,,0,,,22327847.0,9
Not Available,Michaël Weber,6k,0,,,,0,,,10791074.0,21
"Saugatuck, Michigan, United States",JAC,82k,0,,,,0,,,2459855.0,22
Not Available,Aniket_Mishra,551,0,,,,0,,,13017880.0,1
The Netherlands,Guillermo Brachetta,334k,1,,,,0,,,12888470.0,105
United States,Aavery,2k,0,,,,0,,,10836744.0,44
Not Available,Aniss Chohra,39k,0,,,,0,,,9069109.0,12
Batumi,Anton Kandybo,490k,2,,,,0,,,414789.0,627
"Montréal, QC, Canada",Guillaume Racicot,1.6m,578,,,,109,,,2104697.0,"5,418"
Leuven,Tom Wenseleers,2.1m,16,,,,3,,,1887645.0,839
Not Available,Pooja Patil,2k,0,,,,0,,,20999812.0,0
Not Available,bernieeee,19,0,,,,0,,,23405759.0,0
Not Available,nicholasnet,257k,0,,,,1,,,2033800.0,74
